sentence_id,word_id,content,FFD,GD,GPT,TRT,nFix,reading_order
2,2_2,interest,140.94,146.18,216.24,284.0,2.24,2.0
2,2_3,in,129.88,145.62,225.12,145.62,1.12,3.0
2,2_4,race,111.2,115.33,156.8,217.2,1.8,4.0
2,2_5,"cars,",101.44,109.78,164.0,155.78,1.44,5.0
2,2_6,he,114.25,114.25,194.0,206.5,1.62,6.0
2,2_7,formed,103.2,117.07,121.87,150.13,1.47,7.0
2,2_8,a,94.0,94.0,94.0,94.0,1.0,8.0
2,2_9,second,109.87,109.87,164.07,125.67,1.2,9.0
3,3_0,During,82.0,148.78,148.78,291.67,2.33,0.0
3,3_1,this,107.57,107.57,171.5,179.71,1.57,1.0
3,3_10,in,113.09,113.09,309.27,200.64,1.64,10.0
3,3_11,a,104.91,104.91,417.82,156.0,1.45,11.0
3,3_12,race,96.55,102.82,150.09,153.91,1.55,12.0
3,3_13,against,95.19,99.62,175.31,181.44,1.88,13.0
3,3_14,Alexander,104.73,136.87,136.87,259.47,2.67,14.0
3,3_15,"Winton,",144.13,163.0,317.73,333.27,2.73,15.0
3,3_16,a,90.5,90.5,121.67,108.83,1.25,16.0
3,3_17,well-known,112.07,157.8,226.53,230.33,2.2,17.0
3,3_18,driver,117.75,117.75,117.75,166.5,1.56,18.0
3,3_19,and,105.5,105.5,116.12,116.25,1.12,19.0
3,3_2,"period,",112.38,112.38,117.12,179.56,1.69,2.0
3,3_20,the,129.08,129.08,135.85,156.69,1.31,20.0
3,3_21,heavy,108.0,124.06,172.5,223.81,2.06,21.0
3,3_22,favorite,130.59,147.59,333.65,313.29,2.53,22.0
3,3_23,on,120.1,120.1,181.3,160.8,1.3,23.0
3,3_24,October,121.56,149.12,247.06,442.06,3.56,24.0
3,3_25,"10,",154.64,154.64,716.14,312.93,2.14,25.0
3,3_26,1901.,180.19,224.12,1731.19,378.94,2.31,26.0
3,3_3,he,134.0,134.0,134.0,167.56,1.33,3.0
3,3_4,personally,109.0,142.65,147.82,264.18,2.41,4.0
3,3_5,drove,113.29,120.76,192.35,210.18,1.88,5.0
3,3_6,his,96.09,104.64,113.55,146.64,1.55,6.0
3,3_7,Quadricycle,143.0,317.18,506.53,658.24,4.59,7.0
3,3_8,to,115.0,115.0,115.0,115.0,1.0,8.0
3,3_9,victory,104.0,160.12,218.0,246.94,2.24,9.0
4,4_0,Ford,128.92,128.92,128.92,224.0,1.67,0.0
4,4_1,was,123.13,156.07,249.6,279.2,2.2,1.0
4,4_10,including,112.38,136.75,173.62,172.75,1.62,10.0
4,4_11,Henry,104.19,104.19,210.38,205.19,1.88,11.0
4,4_12,M.,92.4,92.4,116.0,137.2,1.4,12.0
4,4_13,Leland,140.29,154.82,274.35,318.47,2.41,13.0
4,4_14,in,96.2,96.2,144.9,96.2,1.0,14.0
4,4_15,"1902,",115.56,153.19,221.69,288.19,2.31,15.0
4,4_16,and,111.17,111.17,174.17,111.17,1.0,16.0
4,4_17,the,119.15,119.15,163.0,135.92,1.15,17.0
4,4_18,company,101.69,105.0,215.5,112.5,1.19,18.0
4,4_19,was,75.33,75.33,75.33,75.33,1.0,19.0
4,4_2,forced,99.64,126.29,156.64,193.86,1.93,2.0
4,4_20,reorganized,109.88,163.06,163.06,322.94,2.82,20.0
4,4_21,as,112.56,112.56,222.67,121.56,1.11,21.0
4,4_22,Cadillac.,107.71,154.24,1016.88,267.35,1.88,22.0
4,4_3,out,114.92,120.23,215.69,153.46,1.38,3.0
4,4_4,of,100.88,100.88,134.75,109.5,1.12,4.0
4,4_5,the,97.17,97.17,97.17,97.17,1.0,5.0
4,4_6,company,95.35,105.65,115.82,165.53,1.65,6.0
4,4_7,by,97.14,97.14,116.71,107.29,1.14,7.0
4,4_8,the,112.27,141.82,175.18,184.18,1.64,8.0
4,4_9,"investors,",118.64,156.0,216.14,161.57,1.43,9.0
5,5_0,In,186.5,186.5,186.5,228.0,1.5,0.0
5,5_1,"1891,",147.75,247.12,385.75,747.69,4.31,1.0
5,5_10,"Company,",112.0,130.65,547.06,271.24,2.47,10.0
5,5_11,and,104.4,104.4,104.4,158.9,1.5,11.0
5,5_12,after,111.27,120.67,187.4,153.67,1.4,12.0
5,5_13,his,125.2,125.2,146.6,162.6,1.4,13.0
5,5_14,promotion,109.0,141.12,406.18,192.59,1.94,14.0
5,5_15,to,111.57,120.29,129.14,127.57,1.29,15.0
5,5_16,Chief,90.47,90.47,90.47,104.8,1.13,16.0
5,5_17,Engineer,134.27,165.53,165.53,215.47,1.8,17.0
5,5_18,in,122.5,122.5,122.5,122.5,1.0,18.0
5,5_19,"1893,",213.44,320.31,755.56,515.31,2.94,19.0
5,5_2,Ford,115.25,115.25,303.44,231.88,2.06,2.0
5,5_20,he,130.67,130.67,143.83,130.67,1.0,20.0
5,5_21,had,116.85,135.0,155.38,168.69,1.62,21.0
5,5_22,enough,101.5,109.07,127.07,126.79,1.29,22.0
5,5_23,time,102.88,112.88,112.88,112.88,1.12,23.0
5,5_24,and,93.0,93.0,93.0,127.0,1.33,24.0
5,5_25,money,101.4,120.93,144.4,141.93,1.47,25.0
5,5_26,to,79.5,79.5,242.25,79.5,1.0,26.0
5,5_27,devote,103.93,129.07,129.07,134.53,1.27,27.0
5,5_28,attention,121.67,155.0,231.47,174.93,1.53,28.0
5,5_29,to,107.83,107.83,149.83,125.5,1.17,29.0
5,5_3,became,112.4,127.87,155.8,232.0,2.13,3.0
5,5_30,his,127.38,127.38,179.75,153.75,1.25,30.0
5,5_31,personal,153.0,164.47,174.6,170.6,1.2,31.0
5,5_32,experiments,118.44,144.12,144.12,188.94,1.62,32.0
5,5_33,on,132.2,132.2,132.2,175.0,1.4,33.0
5,5_34,internal,123.88,163.06,305.25,223.69,1.88,34.0
5,5_35,combustion,142.33,181.13,415.93,229.13,1.93,35.0
5,5_36,engines.,108.14,165.43,981.43,187.64,1.71,36.0
5,5_4,an,85.33,85.33,106.75,137.92,1.5,4.0
5,5_5,engineer,111.24,120.12,176.59,262.53,2.59,5.0
5,5_6,with,97.79,113.57,113.57,187.36,1.79,6.0
5,5_7,the,97.25,97.25,157.5,215.17,2.25,7.0
5,5_8,Edison,96.5,123.0,145.0,232.12,1.94,8.0
5,5_9,Illuminating,121.65,175.06,292.82,292.88,2.65,9.0
6,6_0,These,126.12,126.12,126.12,139.75,1.12,0.0
6,6_1,experiments,96.88,107.69,144.19,229.31,1.94,1.0
6,6_10,own,98.0,107.19,237.5,155.06,1.69,10.0
6,6_11,self-propelled,146.12,213.88,327.65,321.35,2.71,11.0
6,6_12,vehicle,118.76,138.24,138.24,175.94,1.71,12.0
6,6_13,named,106.79,114.43,114.43,144.14,1.36,13.0
6,6_14,the,124.56,124.56,255.44,134.78,1.11,14.0
6,6_15,"Quadricycle,",112.88,245.41,366.94,298.47,2.53,15.0
6,6_16,which,117.08,117.08,117.08,117.08,1.0,16.0
6,6_17,he,91.3,91.3,134.0,114.6,1.3,17.0
6,6_18,test-drove,109.25,155.5,246.12,214.94,2.0,18.0
6,6_19,on,133.71,133.71,133.71,133.71,1.0,19.0
6,6_2,culminated,113.71,183.82,261.65,315.47,2.88,2.0
6,6_20,June,120.07,150.0,361.07,166.86,1.36,20.0
6,6_21,4,110.4,110.4,203.3,116.7,1.1,21.0
6,6_22,of,124.0,136.27,268.18,168.09,1.45,22.0
6,6_23,that,115.17,121.25,448.5,178.83,1.67,23.0
6,6_24,year.,126.67,156.0,1079.67,229.22,1.56,24.0
6,6_3,in,97.5,97.5,135.5,107.38,1.12,3.0
6,6_4,1896,219.82,287.12,375.29,550.76,2.76,4.0
6,6_5,with,136.9,145.0,176.5,170.9,1.4,5.0
6,6_6,the,83.25,83.25,121.75,115.75,1.38,6.0
6,6_7,completion,131.0,206.88,223.76,240.88,1.88,7.0
6,6_8,of,105.2,105.2,105.2,115.2,1.2,8.0
6,6_9,his,97.75,108.88,421.12,204.62,2.12,9.0
7,7_0,Ford,135.38,161.38,161.38,274.88,2.0,0.0
7,7_1,was,95.31,95.31,146.5,211.06,2.19,1.0
7,7_10,(now,99.64,99.64,221.73,160.0,1.64,10.0
7,7_11,in,114.0,114.0,167.5,153.42,1.42,11.0
7,7_12,the,109.36,109.36,141.36,118.82,1.09,12.0
7,7_13,city,102.33,108.0,146.25,146.83,1.33,13.0
7,7_14,of,92.67,127.83,222.0,185.5,1.5,14.0
7,7_15,"Dearborn,",151.12,215.88,343.0,387.88,2.88,15.0
7,7_16,Michigan),135.53,144.12,233.0,208.65,1.71,16.0
7,7_17,owned,123.13,138.73,231.6,199.13,1.8,17.0
7,7_18,by,96.67,96.67,96.67,108.83,1.17,18.0
7,7_19,his,126.4,126.4,126.4,126.4,1.0,19.0
7,7_2,born,102.44,106.0,181.25,167.06,1.75,2.0
7,7_20,"parents,",95.47,126.47,164.33,183.4,1.93,20.0
7,7_21,William,110.81,117.19,145.81,194.75,1.81,21.0
7,7_22,Ford,96.71,96.71,291.07,145.21,1.57,22.0
7,7_23,(1826-1905),124.07,354.6,424.27,591.73,4.13,23.0
7,7_24,and,85.9,85.9,171.7,116.8,1.3,24.0
7,7_25,Mary,93.25,109.25,164.69,153.75,1.62,25.0
7,7_26,Litogot,124.87,212.33,593.6,286.07,2.07,26.0
7,7_27,"(c1839-1876),",125.47,265.47,345.82,333.82,2.41,27.0
7,7_28,immigrants,121.0,129.88,228.94,165.12,1.44,28.0
7,7_29,from,109.67,109.67,116.44,129.44,1.22,29.0
7,7_3,on,89.0,89.0,89.0,157.0,1.67,3.0
7,7_30,County,103.06,127.81,326.38,259.44,2.19,30.0
7,7_31,"Cork,",109.21,114.71,393.43,191.57,1.86,31.0
7,7_32,Ireland.,119.0,127.86,872.5,184.0,1.43,32.0
7,7_4,a,140.1,147.8,195.0,170.7,1.4,4.0
7,7_5,prosperous,121.06,182.59,348.35,360.53,3.18,5.0
7,7_6,farm,121.19,121.19,164.75,199.69,1.69,6.0
7,7_7,in,111.43,111.43,154.0,111.43,1.0,7.0
7,7_8,Springwells,113.24,260.0,383.76,419.35,3.71,8.0
7,7_9,Township,151.18,214.12,242.88,295.53,2.24,9.0
8,8_0,In,151.6,221.4,221.4,244.8,1.6,0.0
8,8_1,the,103.8,110.9,137.4,207.3,1.9,1.0
8,8_10,Hitler's,96.38,106.0,471.88,318.0,3.06,10.0
8,8_11,Nazi,112.44,135.44,466.69,246.81,2.25,11.0
8,8_12,regime.,117.0,135.31,1255.46,229.31,1.92,12.0
8,8_2,years,152.41,179.71,227.18,321.82,2.29,2.0
8,8_3,between,87.44,91.44,108.69,290.0,2.69,3.0
8,8_4,the,105.62,105.62,187.12,127.62,1.25,4.0
8,8_5,"wars,",118.41,156.76,198.88,295.0,2.24,5.0
8,8_6,Henry,108.21,112.71,112.71,192.36,1.93,6.0
8,8_7,Ford,93.86,99.93,122.07,149.29,1.57,7.0
8,8_8,supported,89.76,131.53,186.71,240.94,2.35,8.0
8,8_9,Adolf,95.36,105.5,444.29,164.79,1.57,9.0
9,9_0,There,125.56,149.0,149.0,179.11,1.56,0.0
9,9_1,is,117.67,117.67,134.0,178.5,1.33,1.0
9,9_10,Hitler,106.4,113.0,113.0,113.0,1.1,10.0
9,9_11,direct,102.59,118.29,168.94,164.82,1.65,11.0
9,9_12,financial,110.0,123.88,160.76,165.35,1.59,12.0
9,9_13,backing,115.86,128.21,192.57,222.36,2.07,13.0
9,9_14,when,105.31,105.31,190.54,162.54,1.38,14.0
9,9_15,Hitler,114.29,134.57,192.93,153.57,1.36,15.0
9,9_16,was,98.92,129.67,155.25,152.58,1.5,16.0
9,9_17,first,77.89,77.89,123.89,96.89,1.22,17.0
9,9_18,starting,97.81,117.06,190.75,142.44,1.44,18.0
9,9_19,out,94.5,101.0,301.4,138.0,1.4,19.0
9,9_2,also,111.79,111.79,131.36,177.21,1.43,2.0
9,9_20,in,112.73,121.73,378.27,121.73,1.09,20.0
9,9_21,politics.,100.4,194.7,474.6,216.8,1.5,21.0
9,9_3,some,102.38,102.38,123.31,126.69,1.23,3.0
9,9_4,evidence,87.86,95.64,153.43,133.36,1.43,4.0
9,9_5,that,81.71,81.71,81.71,105.71,1.14,5.0
9,9_6,Henry,111.54,116.54,116.54,141.15,1.38,6.0
9,9_7,Ford,103.78,117.11,147.67,133.44,1.33,7.0
9,9_8,gave,108.88,125.65,169.29,130.24,1.24,8.0
9,9_9,Adolf,80.57,80.57,80.57,80.57,1.0,9.0
10,10_0,This,106.14,106.14,106.14,220.86,2.14,0.0
10,10_1,can,146.44,158.25,165.69,247.56,1.88,1.0
10,10_10,"Ludecke,",158.71,273.47,359.88,466.06,3.29,10.0
10,10_11,Germany's,122.41,135.65,220.65,293.53,2.71,11.0
10,10_12,representative,120.29,189.24,219.12,317.47,3.06,12.0
10,10_13,to,122.14,122.14,132.0,136.86,1.14,13.0
10,10_14,the,105.54,113.46,202.08,151.23,1.46,14.0
10,10_15,U.S.,111.64,127.86,230.0,220.36,1.93,15.0
10,10_16,in,99.5,99.5,147.17,117.17,1.17,16.0
10,10_17,the,122.75,129.17,169.83,154.25,1.33,17.0
10,10_18,"1920s,",137.27,176.07,419.4,260.4,2.0,18.0
10,10_19,and,109.17,109.17,252.5,121.0,1.17,19.0
10,10_2,in,87.71,87.71,204.14,109.71,1.29,2.0
10,10_20,Winifred,121.25,203.94,227.81,366.5,3.0,20.0
10,10_21,"Wagner,",115.76,158.71,335.53,292.29,2.53,21.0
10,10_22,daughter-in-law,140.0,235.0,257.76,345.12,2.94,22.0
10,10_23,of,83.29,83.29,118.71,102.57,1.14,23.0
10,10_24,Richard,120.38,153.56,276.0,249.06,2.25,24.0
10,10_25,"Wagner,",102.69,120.23,430.92,219.08,2.08,25.0
10,10_26,who,92.22,92.22,92.22,105.33,1.11,26.0
10,10_27,said,114.69,114.69,227.54,200.0,1.69,27.0
10,10_28,they,87.07,97.87,169.2,120.33,1.33,28.0
10,10_29,requested,103.56,119.81,155.56,180.81,1.75,29.0
10,10_3,part,105.0,105.0,203.47,245.07,2.33,3.0
10,10_30,funds,118.27,122.67,205.0,152.4,1.47,30.0
10,10_31,from,102.42,102.42,254.33,134.58,1.33,31.0
10,10_32,Ford,115.08,129.54,213.0,138.92,1.15,32.0
10,10_33,to,109.4,109.4,222.9,137.0,1.2,33.0
10,10_34,aid,101.54,117.69,117.69,117.69,1.15,34.0
10,10_35,the,86.56,106.44,106.44,106.44,1.22,35.0
10,10_36,National,118.29,134.57,134.57,177.86,1.57,36.0
10,10_37,Socialist,113.38,128.06,224.31,191.19,1.62,37.0
10,10_38,movement,134.07,165.4,487.6,215.4,1.53,38.0
10,10_39,in,165.25,165.25,530.5,187.0,1.25,39.0
10,10_4,be,91.8,91.8,203.8,129.2,1.3,4.0
10,10_40,Germany.,103.5,249.9,1486.2,325.3,2.1,40.0
10,10_5,traced,105.06,114.19,213.19,236.94,2.44,5.0
10,10_6,to,88.0,88.0,88.0,88.0,1.0,6.0
10,10_7,statements,132.24,156.82,245.71,276.88,2.41,7.0
10,10_8,from,102.86,102.86,172.21,155.79,1.5,8.0
10,10_9,Kurt,116.5,116.5,130.12,149.5,1.38,9.0
11,11_0,Although,108.29,138.0,138.0,179.64,1.71,0.0
11,11_1,Ford,109.62,109.62,152.15,130.0,1.23,1.0
11,11_10,indicate,121.35,132.12,202.35,216.71,1.94,10.0
11,11_11,that,95.0,95.0,95.0,126.0,1.25,11.0
11,11_12,the,113.2,128.3,134.6,212.4,1.9,12.0
11,11_13,concept,110.29,150.47,163.59,206.94,2.12,13.0
11,11_14,and,92.0,108.5,327.67,144.67,1.5,14.0
11,11_15,its,116.5,116.5,143.83,136.08,1.25,15.0
11,11_16,development,94.12,137.18,223.0,203.59,2.24,16.0
11,11_17,came,112.08,117.0,143.62,140.38,1.31,17.0
11,11_18,from,110.88,110.88,145.75,137.5,1.25,18.0
11,11_19,employees,108.56,144.81,280.38,228.75,2.0,19.0
11,11_2,is,145.17,145.17,145.17,178.67,1.33,2.0
11,11_20,Clarence,150.38,170.06,234.25,249.25,1.88,20.0
11,11_21,"Avery,",130.62,139.5,196.06,211.75,1.69,21.0
11,11_22,Peter,116.12,126.38,158.25,162.5,1.56,22.0
11,11_23,E.,111.25,111.25,160.38,134.0,1.25,23.0
11,11_24,"Martin,",112.44,155.12,279.81,184.88,1.75,24.0
11,11_25,Charles,115.62,142.23,330.69,177.31,1.62,25.0
11,11_26,E.,80.5,80.5,586.33,89.67,1.17,26.0
11,11_27,"Sorensen,",121.25,130.69,178.94,175.62,1.5,27.0
11,11_28,and,95.5,95.5,95.5,95.5,1.0,28.0
11,11_29,C.H.,113.69,134.25,363.5,187.81,1.56,29.0
11,11_3,often,94.36,102.93,112.86,150.86,1.64,3.0
11,11_30,Wills.,117.64,141.36,737.45,141.36,1.27,30.0
11,11_4,credited,91.06,100.94,106.44,181.5,1.81,4.0
11,11_5,with,128.78,128.78,128.78,175.78,1.44,5.0
11,11_6,the,99.93,99.93,178.6,180.4,1.67,6.0
11,11_7,"idea,",97.57,102.0,163.43,120.71,1.21,7.0
11,11_8,contemporary,99.76,161.29,286.53,317.41,3.0,8.0
11,11_9,sources,122.73,132.67,153.6,241.93,2.2,9.0
12,12_0,Henry,100.6,148.3,148.3,174.2,1.5,0.0
12,12_1,Ford,88.85,93.54,127.08,206.62,1.77,1.0
12,12_10,spot.,110.4,130.8,898.3,193.4,1.8,10.0
12,12_2,advocated,97.88,114.12,168.29,334.29,2.65,2.0
12,12_3,long-time,115.88,162.35,214.71,273.29,2.47,3.0
12,12_4,associate,114.81,171.56,238.69,280.5,2.5,4.0
12,12_5,Harry,104.82,121.18,160.29,194.12,1.94,5.0
12,12_6,Bennett,113.94,152.5,204.62,254.75,2.19,6.0
12,12_7,to,102.5,102.5,102.5,102.5,1.0,7.0
12,12_8,take,96.14,96.14,324.43,122.43,1.21,8.0
12,12_9,the,94.73,94.73,689.27,160.2,1.47,9.0
13,13_0,Edsel's,156.29,233.71,233.71,582.59,3.47,0.0
13,13_1,widow,127.35,166.35,382.29,400.59,3.35,1.0
13,13_10,her,118.2,118.2,126.1,151.5,1.4,10.0
13,13_11,son,117.75,126.12,168.5,156.75,1.38,11.0
13,13_12,Henry,110.53,115.33,139.73,147.07,1.4,12.0
13,13_13,Ford,104.17,111.5,200.92,156.92,1.42,13.0
13,13_14,II,130.89,130.89,143.33,130.89,1.0,14.0
13,13_15,to,98.89,98.89,151.22,147.0,1.22,15.0
13,13_16,take,100.69,116.46,197.77,143.77,1.31,16.0
13,13_17,over,89.08,118.67,129.0,118.67,1.25,17.0
13,13_18,the,71.4,71.4,71.4,71.4,1.0,18.0
13,13_19,position.,112.75,148.62,706.69,155.0,1.31,19.0
13,13_2,"Eleanor,",128.24,150.47,328.24,388.82,3.0,2.0
13,13_3,who,99.75,99.75,99.75,181.0,1.38,3.0
13,13_4,had,107.13,120.07,186.47,159.87,1.6,4.0
13,13_5,inherited,137.06,155.53,170.35,240.41,1.94,5.0
13,13_6,Edsel's,133.35,148.47,189.76,229.76,1.76,6.0
13,13_7,voting,113.71,116.94,301.59,140.76,1.29,7.0
13,13_8,"stock,",122.18,149.88,317.35,164.53,1.35,8.0
13,13_9,wanted,115.6,115.6,265.73,158.87,1.4,9.0
14,14_0,In,113.25,113.25,113.25,134.0,1.25,0.0
14,14_1,"1879,",125.73,296.87,408.4,618.87,4.0,1.0
14,14_10,Detroit,106.62,125.88,219.56,173.25,1.75,10.0
14,14_11,to,102.0,162.5,162.5,162.5,1.5,11.0
14,14_12,work,119.07,141.27,155.67,160.53,1.4,12.0
14,14_13,as,101.71,101.71,160.43,115.71,1.14,13.0
14,14_14,an,99.75,119.75,159.75,138.0,1.38,14.0
14,14_15,apprentice,112.75,163.75,163.75,235.69,1.94,15.0
14,14_16,"machinist,",142.87,197.87,246.6,303.0,2.47,16.0
14,14_17,first,128.0,128.0,190.82,168.0,1.36,17.0
14,14_18,with,118.93,118.93,146.36,143.5,1.29,18.0
14,14_19,James,94.67,144.8,219.27,211.2,2.27,19.0
14,14_2,he,118.55,118.55,153.18,177.73,1.64,2.0
14,14_20,F.,90.8,90.8,185.8,90.8,1.0,20.0
14,14_21,Flower,120.23,153.38,230.85,209.31,1.77,21.0
14,14_22,&,109.83,109.83,156.0,109.83,1.0,22.0
14,14_23,"Bros.,",116.29,125.71,478.86,165.5,1.5,23.0
14,14_24,and,84.0,84.0,84.0,84.0,1.0,24.0
14,14_25,later,111.27,122.09,122.09,143.27,1.27,25.0
14,14_26,with,111.62,111.62,443.12,122.25,1.12,26.0
14,14_27,the,104.75,104.75,120.75,120.0,1.12,27.0
14,14_28,Detroit,127.85,143.92,176.08,177.23,1.46,28.0
14,14_29,Dry,118.7,118.7,247.9,134.7,1.2,29.0
14,14_3,left,88.57,102.36,172.21,173.0,1.79,3.0
14,14_30,Dock,127.5,156.0,946.2,176.2,1.5,30.0
14,14_31,Co.,175.82,175.82,497.55,187.18,1.09,31.0
14,14_4,home,98.07,98.07,168.27,146.07,1.53,4.0
14,14_5,for,108.7,108.7,108.7,119.7,1.1,5.0
14,14_6,the,107.22,107.22,123.56,172.89,1.44,6.0
14,14_7,nearby,118.56,146.25,188.25,215.44,2.0,7.0
14,14_8,city,114.67,118.87,156.67,159.67,1.47,8.0
14,14_9,of,108.71,108.71,134.71,187.29,1.29,9.0
15,15_0,Alexander,106.53,124.06,124.06,488.0,3.82,0.0
15,15_1,Rae,160.29,171.07,183.43,341.5,2.5,1.0
15,15_10,Long,107.85,107.85,238.62,214.08,2.08,10.0
15,15_11,"Island,",109.69,126.31,156.75,178.44,1.81,11.0
15,15_12,New,112.82,122.27,146.36,130.45,1.18,12.0
15,15_13,"York,",96.69,96.69,102.92,145.15,1.62,13.0
15,15_14,USA),104.64,104.64,243.29,128.57,1.21,14.0
15,15_15,is,99.6,99.6,207.3,121.9,1.3,15.0
15,15_16,an,138.58,138.58,172.58,168.42,1.33,16.0
15,15_17,American,99.94,137.75,170.38,177.25,1.88,17.0
15,15_18,actor,101.91,101.91,220.36,127.55,1.27,18.0
15,15_19,who,108.56,108.56,414.11,108.56,1.0,19.0
15,15_2,Baldwin,107.0,142.0,299.41,416.88,3.65,2.0
15,15_20,is,112.3,112.3,211.6,172.1,1.6,20.0
15,15_21,the,78.83,78.83,294.0,163.83,1.67,21.0
15,15_22,oldest,100.31,100.31,177.44,180.62,1.81,22.0
15,15_23,and,102.91,102.91,812.36,145.45,1.45,23.0
15,15_24,best,94.08,100.46,167.38,127.08,1.38,24.0
15,15_25,known,102.2,110.0,149.47,177.87,1.87,25.0
15,15_26,of,83.8,83.8,130.8,83.8,1.0,26.0
15,15_27,the,96.14,103.14,108.71,134.5,1.43,27.0
15,15_28,"""Baldwin",105.0,144.44,283.88,218.81,2.25,28.0
15,15_29,"brothers"",",133.65,147.59,147.59,189.82,1.47,29.0
15,15_3,III,135.17,135.17,241.92,200.42,1.5,3.0
15,15_30,with,142.09,142.09,142.09,190.73,1.55,30.0
15,15_31,brothers,105.76,111.71,223.12,239.88,2.41,31.0
15,15_32,"Daniel,",103.13,112.07,272.93,236.8,2.4,32.0
15,15_33,Stephen,139.53,162.06,351.06,303.12,2.35,33.0
15,15_34,and,106.4,106.4,420.5,112.0,1.1,34.0
15,15_35,William.,130.13,150.67,1472.13,210.53,1.67,35.0
15,15_4,(born,110.6,136.87,178.6,264.0,2.27,4.0
15,15_5,April,121.0,121.0,209.29,286.71,2.43,5.0
15,15_6,"3,",109.2,116.8,135.9,149.5,1.5,6.0
15,15_7,"1958,",135.41,198.29,328.82,448.29,3.29,7.0
15,15_8,in,109.18,109.18,420.18,159.64,1.64,8.0
15,15_9,"Massapequa,",128.24,318.35,970.35,635.35,4.65,9.0
16,16_0,He,90.67,177.67,177.67,177.67,1.33,0.0
16,16_1,is,122.29,122.29,161.5,169.93,1.5,1.0
16,16_10,descent.,207.71,217.47,637.35,284.41,1.29,10.0
16,16_2,of,115.25,127.92,163.0,210.42,1.67,2.0
16,16_3,three,113.75,113.75,251.06,216.19,1.94,3.0
16,16_4,quarters,109.71,147.18,266.0,288.06,2.24,4.0
16,16_5,Irish,94.15,100.54,124.69,158.38,1.62,5.0
16,16_6,and,108.75,108.75,108.75,108.75,1.0,6.0
16,16_7,one,112.45,117.45,117.45,124.64,1.18,7.0
16,16_8,quarter,102.5,132.25,151.38,199.12,1.94,8.0
16,16_9,French,100.09,100.09,131.36,122.09,1.27,9.0
