sentence_id,word_id,content,FFD,GD,GPT,TRT,nFix,reading_order,node_id,node_type,instance,word_index,word,depth,degree,in_degree,out_degree
7,7_30,County,103.06,127.81,326.38,259.44,2.19,30.0,c2,instance,county,0,county,0,4,2,2
7,7_31,"Cork,",109.21,114.71,393.43,191.57,1.86,31.0,n7,instance,name,0,Cork,0,2,1,1
7,7_32,Ireland.,119.0,127.86,872.5,184.0,1.43,32.0,n8,instance,name,0,Ireland,0,2,1,1
7,7_5,prosperous,121.06,182.59,348.35,360.53,3.18,5.0,p2,instance,prosperous,0,prosperous,2,1,1,0
7,7_6,farm,121.19,121.19,164.75,199.69,1.69,6.0,f,instance,farm,0,farm,1,5,3,2
7,7_8,Springwells,113.24,260.0,383.76,419.35,3.71,8.0,n2,instance,name,0,Springwells,3,2,1,1
7,7_9,Township,151.18,214.12,242.88,295.53,2.24,9.0,t,instance,township,0,township,2,3,1,2
8,8_11,Nazi,112.44,135.44,466.69,246.81,2.25,11.0,n2,instance,name,0,Nazi,3,2,1,1
8,8_12,regime.,117.0,135.31,1255.46,229.31,1.92,12.0,r,instance,regime,0,regime,1,3,1,2
8,8_2,years,152.41,179.71,227.18,321.82,2.29,2.0,y,instance,year,0,year,1,2,1,1
8,8_3,between,87.44,91.44,108.69,290.0,2.69,3.0,b,instance,between,0,between,2,2,1,1
8,8_5,"wars,",118.41,156.76,198.88,295.0,2.24,5.0,w,instance,war,0,war,3,1,1,0
8,8_6,Henry,108.21,112.71,112.71,192.36,1.93,6.0,n,instance,name,0,Henry,2,3,1,2
8,8_7,Ford,93.86,99.93,122.07,149.29,1.57,7.0,n,instance,name,1,Ford,2,3,1,2
8,8_9,Adolf,95.36,105.5,444.29,164.79,1.57,9.0,n3,instance,name,0,Adolf,3,3,1,2
9,9_10,Hitler,106.4,113.0,113.0,113.0,1.1,10.0,n2,instance,name,1,Hitler,3,3,1,2
9,9_11,direct,102.59,118.29,168.94,164.82,1.65,11.0,d,instance,direct,0,direct,3,1,1,0
9,9_15,Hitler,114.29,134.57,192.93,153.57,1.36,15.0,n2,instance,name,1,Hitler,3,3,1,2
9,9_17,first,77.89,77.89,123.89,96.89,1.22,17.0,f2,instance,first,0,first,3,1,1,0
9,9_2,also,111.79,111.79,131.36,177.21,1.43,2.0,a,instance,also,0,also,1,1,1,0
9,9_21,politics.,100.4,194.7,474.6,216.8,1.5,21.0,p3,instance,politics,0,politics,3,1,1,0
9,9_3,some,102.38,102.38,123.31,126.69,1.23,3.0,s,instance,some,0,some,1,1,1,0
9,9_4,evidence,87.86,95.64,153.43,133.36,1.43,4.0,e,instance,evidence-01,0,evidence-01,0,4,0,4
9,9_6,Henry,111.54,116.54,116.54,141.15,1.38,6.0,n,instance,name,0,Henry,3,3,1,2
9,9_7,Ford,103.78,117.11,147.67,133.44,1.33,7.0,n,instance,name,1,Ford,3,3,1,2
9,9_9,Adolf,80.57,80.57,80.57,80.57,1.0,9.0,n2,instance,name,0,Adolf,3,3,1,2
10,10_0,This,106.14,106.14,106.14,220.86,2.14,0.0,t2,instance,this,0,this,1,1,1,0
10,10_10,"Ludecke,",158.71,273.47,359.88,466.06,3.29,10.0,n,instance,name,1,Ludecke,4,3,1,2
10,10_15,U.S.,111.64,127.86,230.0,220.36,1.93,15.0,n3,instance,name,0,U.S.,0,2,1,1
10,10_19,and,109.17,109.17,252.5,121.0,1.17,19.0,a,instance,and,0,and,2,6,4,2
10,10_20,Winifred,121.25,203.94,227.81,366.5,3.0,20.0,n4,instance,name,0,Winifred,4,3,1,2
10,10_21,"Wagner,",115.76,158.71,335.53,292.29,2.53,21.0,n4,instance,name,1,Wagner,4,3,1,2
10,10_22,daughter-in-law,140.0,235.0,257.76,345.12,2.94,22.0,d2,instance,daughter-in-law-01,0,daughter-in-law-01,0,3,0,3
10,10_24,Richard,120.38,153.56,276.0,249.06,2.25,24.0,n5,instance,name,0,Richard,0,3,1,2
10,10_25,"Wagner,",102.69,120.23,430.92,219.08,2.08,25.0,n4,instance,name,1,Wagner,4,3,1,2
10,10_3,part,105.0,105.0,203.47,245.07,2.33,3.0,p,instance,part,0,part,1,1,1,0
10,10_30,funds,118.27,122.67,205.0,152.4,1.47,30.0,f,instance,fund,0,fund,4,1,1,0
10,10_32,Ford,115.08,129.54,213.0,138.92,1.15,32.0,n6,instance,name,0,Ford,5,2,1,1
10,10_34,aid,101.54,117.69,117.69,117.69,1.15,34.0,a2,instance,aid-01,0,aid-01,4,4,1,3
10,10_36,National,118.29,134.57,134.57,177.86,1.57,36.0,n7,instance,name,0,National,6,3,1,2
10,10_37,Socialist,113.38,128.06,224.31,191.19,1.62,37.0,n7,instance,name,1,Socialist,6,3,1,2
10,10_38,movement,134.07,165.4,487.6,215.4,1.53,38.0,m,instance,movement,0,movement,5,3,1,2
10,10_40,Germany.,103.5,249.9,1486.2,325.3,2.1,40.0,n2,instance,name,0,Germany,7,2,1,1
10,10_9,Kurt,116.5,116.5,130.12,149.5,1.38,9.0,n,instance,name,0,Kurt,4,3,1,2
11,11_1,Ford,109.62,109.62,152.15,130.0,1.23,1.0,n5,instance,name,0,Ford,3,2,1,1
11,11_10,indicate,121.35,132.12,202.35,216.71,1.94,10.0,i,instance,indicate-01,0,indicate-01,0,4,0,4
11,11_14,and,92.0,108.5,327.67,144.67,1.5,14.0,a,instance,and,0,and,2,3,1,2
11,11_19,employees,108.56,144.81,280.38,228.75,2.0,19.0,e,instance,employee,0,employee,2,2,2,0
11,11_20,Clarence,150.38,170.06,234.25,249.25,1.88,20.0,n1,instance,name,0,Clarence,0,3,1,2
11,11_21,"Avery,",130.62,139.5,196.06,211.75,1.69,21.0,n1,instance,name,1,Avery,0,3,1,2
11,11_22,Peter,116.12,126.38,158.25,162.5,1.56,22.0,n2,instance,name,0,Peter,0,4,1,3
11,11_23,E.,111.25,111.25,160.38,134.0,1.25,23.0,n2,instance,name,1,E.,0,4,1,3
11,11_24,"Martin,",112.44,155.12,279.81,184.88,1.75,24.0,n2,instance,name,2,Martin,0,4,1,3
11,11_25,Charles,115.62,142.23,330.69,177.31,1.62,25.0,n3,instance,name,0,Charles,0,4,1,3
11,11_26,E.,80.5,80.5,586.33,89.67,1.17,26.0,n2,instance,name,1,E.,0,4,1,3
11,11_27,"Sorensen,",121.25,130.69,178.94,175.62,1.5,27.0,n3,instance,name,2,Sorensen,0,4,1,3
11,11_28,and,95.5,95.5,95.5,95.5,1.0,28.0,a,instance,and,0,and,2,3,1,2
11,11_29,C.H.,113.69,134.25,363.5,187.81,1.56,29.0,n4,instance,name,0,C.H.,0,3,1,2
11,11_3,often,94.36,102.93,112.86,150.86,1.64,3.0,o,instance,often,0,often,2,1,1,0
11,11_30,Wills.,117.64,141.36,737.45,141.36,1.27,30.0,n4,instance,name,1,Wills,0,3,1,2
11,11_7,"idea,",97.57,102.0,163.43,120.71,1.21,7.0,i2,instance,idea-01,0,idea-01,2,4,3,1
11,11_8,contemporary,99.76,161.29,286.53,317.41,3.0,8.0,c,instance,contemporary,0,contemporary,2,1,1,0
11,11_9,sources,122.73,132.67,153.6,241.93,2.2,9.0,s,instance,source,0,source,1,2,1,1
12,12_0,Henry,100.6,148.3,148.3,174.2,1.5,0.0,n,instance,name,0,Henry,2,3,1,2
12,12_1,Ford,88.85,93.54,127.08,206.62,1.77,1.0,n,instance,name,1,Ford,2,3,1,2
12,12_10,spot.,110.4,130.8,898.3,193.4,1.8,10.0,s,instance,spot,0,spot,2,1,1,0
12,12_3,long-time,115.88,162.35,214.71,273.29,2.47,3.0,l,instance,long-time,0,long-time,0,1,1,0
12,12_4,associate,114.81,171.56,238.69,280.5,2.5,4.0,a2,instance,associate-01,0,associate-01,0,4,0,4
12,12_5,Harry,104.82,121.18,160.29,194.12,1.94,5.0,n2,instance,name,0,Harry,3,3,1,2
12,12_6,Bennett,113.94,152.5,204.62,254.75,2.19,6.0,n2,instance,name,1,Bennett,3,3,1,2
12,12_8,take,96.14,96.14,324.43,122.43,1.21,8.0,t,instance,take-01,0,take-01,1,4,1,3
13,13_1,widow,127.35,166.35,382.29,400.59,3.35,1.0,w2,instance,widow-01,0,widow-01,0,3,0,3
13,13_11,son,117.75,126.12,168.5,156.75,1.38,11.0,s2,instance,son-01,0,son-01,0,3,0,3
13,13_12,Henry,110.53,115.33,139.73,147.07,1.4,12.0,n3,instance,name,0,Henry,3,4,1,3
13,13_13,Ford,104.17,111.5,200.92,156.92,1.42,13.0,n3,instance,name,1,Ford,3,4,1,3
13,13_14,II,130.89,130.89,143.33,130.89,1.0,14.0,n3,instance,name,2,II,3,4,1,3
13,13_19,position.,112.75,148.62,706.69,155.0,1.31,19.0,p4,instance,position,0,position,2,1,1,0
13,13_2,"Eleanor,",128.24,150.47,328.24,388.82,3.0,2.0,n,instance,name,0,Eleanor,2,2,1,1
13,13_8,"stock,",122.18,149.88,317.35,164.53,1.35,8.0,s,instance,stock,0,stock,0,3,1,2
14,14_1,"1879,",125.73,296.87,408.4,618.87,4.0,1.0,d,instance,date-entity,0,1879,1,2,1,1
14,14_10,Detroit,106.62,125.88,219.56,173.25,1.75,10.0,n,instance,name,0,Detroit,3,2,1,1
14,14_12,work,119.07,141.27,155.67,160.53,1.4,12.0,w,instance,work-01,0,work-01,1,6,1,5
14,14_15,apprentice,112.75,163.75,163.75,235.69,1.94,15.0,a,instance,apprentice,0,apprentice,3,1,1,0
14,14_16,"machinist,",142.87,197.87,246.6,303.0,2.47,16.0,m,instance,machinist,0,machinist,2,2,1,1
14,14_17,first,128.0,128.0,190.82,168.0,1.36,17.0,f,instance,first,0,first,4,1,1,0
14,14_19,James,94.67,144.8,219.27,211.2,2.27,19.0,n3,instance,name,0,James,4,6,1,5
14,14_2,he,118.55,118.55,153.18,177.73,1.64,2.0,h,instance,he,0,he,1,2,2,0
14,14_20,F.,90.8,90.8,185.8,90.8,1.0,20.0,n3,instance,name,1,F.,4,6,1,5
14,14_21,Flower,120.23,153.38,230.85,209.31,1.77,21.0,n3,instance,name,2,Flower,4,6,1,5
14,14_23,"Bros.,",116.29,125.71,478.86,165.5,1.5,23.0,n3,instance,name,4,Bros.,4,6,1,5
14,14_24,and,84.0,84.0,84.0,84.0,1.0,24.0,a2,instance,and,0,and,2,3,1,2
14,14_25,later,111.27,122.09,122.09,143.27,1.27,25.0,l2,instance,later,0,later,4,1,1,0
14,14_28,Detroit,127.85,143.92,176.08,177.23,1.46,28.0,n,instance,name,0,Detroit,3,2,1,1
14,14_29,Dry,118.7,118.7,247.9,134.7,1.2,29.0,n4,instance,name,1,Dry,4,5,1,4
14,14_30,Dock,127.5,156.0,946.2,176.2,1.5,30.0,n4,instance,name,2,Dock,4,5,1,4
14,14_31,Co.,175.82,175.82,497.55,187.18,1.09,31.0,n4,instance,name,3,Co.,4,5,1,4
14,14_4,home,98.07,98.07,168.27,146.07,1.53,4.0,h2,instance,home,0,home,1,1,1,0
14,14_7,nearby,118.56,146.25,188.25,215.44,2.0,7.0,n2,instance,nearby,0,nearby,3,1,1,0
14,14_8,city,114.67,118.87,156.67,159.67,1.47,8.0,c,instance,city,0,city,2,3,1,2
15,15_0,Alexander,106.53,124.06,124.06,488.0,3.82,0.0,n,instance,name,0,Alexander,2,5,1,4
15,15_1,Rae,160.29,171.07,183.43,341.5,2.5,1.0,n,instance,name,1,Rae,2,5,1,4
15,15_10,Long,107.85,107.85,238.62,214.08,2.08,10.0,n3,instance,name,0,Long,0,3,1,2
15,15_11,"Island,",109.69,126.31,156.75,178.44,1.81,11.0,i,instance,island,0,island,0,3,1,2
15,15_12,New,112.82,122.27,146.36,130.45,1.18,12.0,n4,instance,name,0,New,0,3,1,2
15,15_13,"York,",96.69,96.69,102.92,145.15,1.62,13.0,n4,instance,name,1,York,0,3,1,2
15,15_14,USA),104.64,104.64,243.29,128.57,1.21,14.0,n5,instance,name,0,USA,0,2,1,1
15,15_18,actor,101.91,101.91,220.36,127.55,1.27,18.0,a,instance,actor,0,actor,0,1,0,1
15,15_2,Baldwin,107.0,142.0,299.41,416.88,3.65,2.0,n7,instance,name,0,Baldwin,0,2,1,1
15,15_23,and,102.91,102.91,812.36,145.45,1.45,23.0,a3,instance,and,0,and,2,4,1,3
15,15_28,"""Baldwin",105.0,144.44,283.88,218.81,2.25,28.0,n7,instance,name,0,Baldwin,0,2,1,1
15,15_29,"brothers"",",133.65,147.59,147.59,189.82,1.47,29.0,b2,instance,brother,0,brother,0,3,2,1
15,15_3,III,135.17,135.17,241.92,200.42,1.5,3.0,n,instance,name,3,III,2,5,1,4
15,15_31,brothers,105.76,111.71,223.12,239.88,2.41,31.0,b2,instance,brother,0,brother,0,3,2,1
15,15_32,"Daniel,",103.13,112.07,272.93,236.8,2.4,32.0,n8,instance,name,0,Daniel,4,2,1,1
15,15_33,Stephen,139.53,162.06,351.06,303.12,2.35,33.0,n9,instance,name,0,Stephen,4,2,1,1
15,15_34,and,106.4,106.4,420.5,112.0,1.1,34.0,a3,instance,and,0,and,2,4,1,3
15,15_35,William.,130.13,150.67,1472.13,210.53,1.67,35.0,n10,instance,name,0,William,4,2,1,1
15,15_7,"1958,",135.41,198.29,328.82,448.29,3.29,7.0,d,instance,date-entity,0,1958,0,4,1,3
15,15_9,"Massapequa,",128.24,318.35,970.35,635.35,4.65,9.0,n2,instance,name,0,Massapequa,0,2,1,1
16,16_0,He,90.67,177.67,177.67,177.67,1.33,0.0,h,instance,he,0,he,1,1,1,0
16,16_5,Irish,94.15,100.54,124.69,158.38,1.62,5.0,n1,instance,name,0,Irish,3,2,1,1
16,16_6,and,108.75,108.75,108.75,108.75,1.0,6.0,a,instance,and,0,and,1,3,1,2
16,16_9,French,100.09,100.09,131.36,122.09,1.27,9.0,n2,instance,name,0,French,3,2,1,1
17,17_0,Baldwin,138.2,153.47,153.47,273.07,1.93,0.0,n,instance,name,0,Baldwin,2,2,1,1
17,17_10,Hunt,122.93,134.14,134.14,147.93,1.21,10.0,n3,instance,name,1,Hunt,4,6,1,5
17,17_11,for,83.08,83.08,331.69,151.0,1.62,11.0,n3,instance,name,2,for,4,6,1,5
17,17_12,Red,127.1,132.8,167.2,168.7,1.6,12.0,n3,instance,name,3,Red,4,6,1,5
17,17_13,"October,",114.0,141.38,145.12,180.06,1.75,13.0,n3,instance,name,4,October,4,6,1,5
17,17_14,"Beetlejuice,",131.18,242.06,307.18,284.35,2.41,14.0,n4,instance,name,0,Beetlejuice,4,2,1,1
17,17_15,Ghosts,126.75,146.88,157.25,178.0,1.56,15.0,n5,instance,name,0,Ghosts,4,4,1,3
17,17_16,of,88.5,148.75,148.75,148.75,1.25,16.0,n5,instance,name,1,of,4,4,1,3
17,17_17,"Mississippi,",144.06,179.62,208.06,211.81,1.62,17.0,n5,instance,name,2,Mississippi,4,4,1,3
17,17_18,Talk,131.2,140.07,176.07,190.33,1.53,18.0,n6,instance,name,0,Talk,4,3,1,2
17,17_19,"Radio,",107.27,117.47,168.33,181.2,1.67,19.0,n6,instance,name,1,Radio,4,3,1,2
17,17_20,Final,126.23,126.23,225.69,172.62,1.54,20.0,n7,instance,name,0,Final,4,6,1,5
17,17_21,Fantasy:,127.93,145.86,206.79,205.64,1.86,21.0,n7,instance,name,1,Fantasy:,4,6,1,5
17,17_22,The,100.0,100.0,100.0,100.0,1.0,22.0,n2,instance,name,0,The,4,3,1,2
17,17_23,Spirits,107.2,177.53,198.4,228.93,2.0,23.0,n7,instance,name,3,Spirits,4,6,1,5
17,17_24,Within,110.0,110.0,192.07,168.07,1.5,24.0,n7,instance,name,4,Within,4,6,1,5
17,17_25,"(voice),",112.0,116.25,253.5,120.75,1.17,25.0,v,instance,voice-01,0,voice-01,4,2,1,1
17,17_26,The,123.0,123.0,123.0,123.0,1.0,26.0,n2,instance,name,0,The,4,3,1,2
17,17_27,Cat,100.46,118.23,118.23,126.08,1.31,27.0,n8,instance,name,1,Cat,4,6,1,5
17,17_28,in,74.25,74.25,316.25,94.12,1.25,28.0,n8,instance,name,2,in,4,6,1,5
17,17_29,the,89.71,89.71,125.0,110.71,1.29,29.0,n2,instance,name,0,The,4,3,1,2
17,17_3,in,154.75,154.75,177.75,167.75,1.25,3.0,n8,instance,name,2,in,4,6,1,5
17,17_30,"Hat,",95.46,100.15,134.62,124.62,1.38,30.0,n8,instance,name,4,Hat,4,6,1,5
17,17_31,Pearl,106.56,106.56,106.56,153.89,1.44,31.0,n9,instance,name,0,Pearl,4,3,1,2
17,17_32,"Harbor,",96.07,122.0,210.27,179.07,1.73,32.0,n9,instance,name,1,Harbor,4,3,1,2
17,17_33,Thomas,110.93,120.6,120.6,146.53,1.33,33.0,n10,instance,name,0,Thomas,4,6,1,5
17,17_34,and,83.83,92.67,149.83,116.33,1.5,34.0,a2,instance,and,0,and,2,13,1,12
17,17_35,the,97.67,97.67,149.67,97.67,1.0,35.0,n2,instance,name,0,The,4,3,1,2
17,17_36,Magic,117.42,124.75,124.75,124.75,1.08,36.0,n10,instance,name,3,Magic,4,6,1,5
17,17_37,"Railroad,",115.76,154.06,206.41,189.06,1.71,37.0,n10,instance,name,4,Railroad,4,6,1,5
17,17_38,Along,130.67,138.0,165.83,194.67,1.5,38.0,n11,instance,name,0,Along,4,4,1,3
17,17_39,Came,105.5,124.71,138.14,135.5,1.21,39.0,n11,instance,name,1,Came,4,4,1,3
17,17_4,movies,117.41,120.41,218.71,171.76,1.53,4.0,m,instance,movie,0,movie,1,2,1,1
17,17_40,"Polly,",108.56,108.56,155.11,157.33,1.44,40.0,n11,instance,name,2,Polly,4,4,1,3
17,17_41,The,93.25,93.25,106.5,93.25,1.0,41.0,n2,instance,name,0,The,4,3,1,2
17,17_42,SpongeBob,116.88,178.0,209.69,215.25,1.88,42.0,n12,instance,name,1,SpongeBob,4,5,1,4
